0;0;0;72296;432;;1592;3184;;;3184;1592;1592;;;;3184;272;1592;1592;1592;1592;3184;3184;;;3184;3184;;3184;;272;3184;3184;;3184;;3184;3184;;3184;;3184;;3184;5424;3184;;;3184;3184;;;;;3184;;3184;272;;1592;1592;3184;1592;1592;;3184;;;;3184;;5472;;3184;;3184;3184;;;1592;1592;1592;1592;;;272;;3184;;;;;;;;;;;;5904;;;;;;3184;;;;3184;;;272;;;3184;;;;;;;;6368;;;272;;;1592;1592;1592
0;0;75;3184;;;;;;;6368;1592;1592;;;1592;4312;3184;3184;;;4776;1592;;;3184;;3184;;272;;3184;;;;;3184;3184;1592;1592;3184;;;272;;3184;;;;;;1592;4776;;;;3184;5472;;3184;3184;3184;;3184;1592;1592;3184;;;1592;1592;4312;;1592;3184;3184;1592;1592;;1592;1592;3184;;1592;4312;2704;;;1592;1592;3184;;;;;1592;1592;;272;;;;;3184;3184;;1112;2072;;3184;;;4312;1592;;;3184;;;2704;48;1592;1592;;;;4312;1592;;;;;
0;72888;16;;;;;;;16;16;32;;;;272;;;48;16;;;;;;;;;;272;32;;;;16;16;32;16;16;;16;16;272;;16;16;;;;;;;;;;;592;112;208;;;16;16;;;32;;;;;272;;16;16;32;;;32;;;;;;;272;;;;;;;;;;;;;224;;;;;;;;;;;;16;32;432;16;16;32;48;16;48;;32;;16;;;;272;;;;;;;
71816;16;;;32;;32;32;;;32;32;32;32;592;;32;;32;16;32;16;;;;;;;272;32;;;32;;32;;32;;32;32;;5488;3632;32;;;64;16;32;16;;;16;;16;592;;;;;;;;;;;;;;272;;32;;32;32;;;;;;32;32;;272;32;16;16;32;;16;16;;;;;32;5488;432;;;;;;;;;32;;;32;272;;;;;;;;;;;;;;272;;;;;;32;;
0;47736;23824;3184;5408;6368;;;1592;;1592;3184;3184;1592;3184;4312;;3184;;3184;;1592;1592;;;;1592;1592;3184;272;3184;;3184;;3184;;3184;;;;3184;;1592;4312;;3184;1592;1592;3184;;3184;;;;1592;3184;388;432;3184;3184;;3184;3184;;;3184;;;;3184;272;3184;3184;;;3184;3184;;3184;3184;3184;3184;;3184;5904;;;;;3184;5504;;;3184;;;;3184;4312;1592;3184;;;;;3184;;;;;;388;1592;;;1592;1592;3184;;3184;3184;3184;;3184;1592;4312;;;;;;3816;2072
0;0;7224;4776;;3184;3184;;;1592;1592;;3184;;;92;18;3184;3184;;3184;;;;;;;3184;;272;;;;;;;;;;;;;;3832;2072;;;3184;;;;;;;;;;272;3184;;;;;;;;;;;;92;18;;;;;;3184;;;;;;;272;;;;;;;;;;;;;2704;5424;;;;;3184;;;;;;;;;272;;;;;;;;;;;;;92;18;;;;;;3184
0;71888;1592;3184;;;;;;;;;;;;272;;;;;1112;2072;3184;;;3184;;;;272;;;3184;3184;;;;;;;3184;;2288;432;;;;;;;;3184;;;;;272;;3184;;;;;6368;;;3184;;;3184;272;3184;;;;2704;48;3184;;3184;;;3184;;272;;;3184;;;3184;;3184;;;;3184;5904;;;;3184;;1592;3184;1592;3184;;;1592;1592;5904;3184;3184;1592;1592;;3184;;;1592;1592;3184;4776;;272;1592;;1592;1592;1592;1592;1592
0;0;56896;20768;32;32;;;;;;;;32;;;272;;;;;;;;;;;;;;272;;;32;;64;;;32;;;;16;64;432;272;;;272;16;368;;48;32;32;;16;432;16;32;48;;32;32;;;;32;32;;16;432;32;;32;16;16;16;;16;272;368;;;;272;32;32;32;;;;;;;;;;;272;;;;48;16;;32;;;16;16;;5488;;;;;;;32;32;;;;32;;544;48;;;32;;32
0;0;7264;1592;3184;;;;3184;;;;;;;;272;;;;;;;3184;1592;1592;;;;272;;;3184;;6368;;;3184;;;3184;;;5904;;;3184;;;3184;3184;;;3184;;;;272;3184;1592;4776;;;;3184;;;3184;3184;;3184;272;;;3184;;3184;1592;1592;;;;;;272;2704;;;3184;;3184;;;3184;;;;;272;;;;;;;;;;;;;3184;272;;;;;;;;;;;;3184;;5904;1592;1592;;;3184;1592
0;0;72896;16;48;16;;;;;;;32;;;;272;;;;;;32;;;;16;16;;272;;;48;16;;;32;272;48;;;16;16;272;;;;;;272;;32;;32;;;;272;;;;;;;;;;;;32;;272;32;;32;;;;;32;;;32;;272;;32;;;;;;;16;48;;;;272;;16;16;32;;;;;;;32;32;;272;32;;32;;;;16;16;;;;;;272;;272;;;;
0;72352;;16;;;;;;;;;;;;272;;;;32;;64;;;;;;;;272;;;64;;;16;16;;;32;32;;272;;32;;;;32;16;16;16;16;32;16;16;272;;;;32;;;32;32;16;16;32;;;272;32;;;;32;;32;;;;16;16;;272;32;32;;;;;;;;;32;;432;16;;;16;;16;16;16;32;;32;;;272;;;16;16;;;;;32;112;208;32;;272;32;32;;32;32;;
0;0;73472;16;;;;;;;32;;16;48;112;48;32;;;48;16;64;;;16;16;;;32;592;;32;;32;16;16;;16;16;32;;;32;432;16;;32;32;;;;;16;;;16;16;432;;48;16;;;32;;;32;;;32;2288;432;;;;;;;;;32;;;;272;;;;;;;;;;32;;;;272;;;;;;;;;;;;;;272;;;;;;;;;;;;;272;;;;;;;
0;6056;67456;16;;;;;;112;208;;;;;272;16;32;16;32;16;;16;16;;32;16;;;272;;32;32;;;;;;;;;;;272;272;;;;;;;;;;;;;224;32;;;;;;;;;;;16;432;;;;;32;;;;32;;;;;272;;;;32;32;32;;32;32;32;;16;16;272;32;32;;32;;;32;;;;16;16;;432;16;;32;;;;;;;;;;272;;32;16;32;16;32;
0;49648;22608;1592;;3184;;;;;;;;;;272;;;;;;6368;;3184;3184;3184;;;;272;;;;;;;;;;;;;;272;;;3184;;;;;3184;;;;;2288;432;6368;1592;1592;3184;;;;;;;;;272;;;3184;;;3184;;3184;1592;4776;;;;272;;;;;2704;;3184;;;;3184;3184;1592;4312;;;;;3184;;;;3184;;;;2288;432;;;;;;;;;;;;;5904;;;;;;;
0;0;7276;16;32;;;;;;32;;32;;;;272;;;;;;;;;;;;;;272;;;;;;;;;;;;;432;16;;16;16;;592;48;;32;;;;;272;;;32;;32;;32;;;;32;;;432;32;16;32;;16;32;16;32;32;;;32;32;432;16;;16;272;208;;;16;16;;;;3888;16;;;;;;;;16;16;;;;272;32;;;;;48;16;;;;;;;272;;16;64;16;;32
0;0;80592;;;;;;;;;;;;;;224;;;;32;;;;;;32;48;16;432;;16;;;16;16;16;16;;;32;;32;272;32;16;16;;;32;16;16;32;;32;16;16;272;;;16;16;16;16;;;;;;32;;5488;16;32;32;16;;16;16;;;32;32;;5488;432;;;32;16;16;;16;16;;16;16;;592;;32;;;32;;32;;;;;;;272;;;32;;;;;;;;;32;32;432;16;;;64;64;32
0;6056;69016;1592;3184;;;3184;;;;3184;3184;3184;;272;1592;1592;3184;;3184;;;3184;;;1592;1592;3184;272;;3184;;;;;1592;1592;;;1592;3184;1592;272;1592;1592;;;;;3184;;3184;3184;3184;;;272;3184;3184;;3184;;;;;;;;;5904;;;;;;;;;;;;;;272;;;;;;;;;;;;;;224;;;;;;1592;;;1592;;;;1592;272;4776;3184;;1592;4776;796;;;;;;;272;1592;;;;3184;;
0;0;768;;32;;;;;;;;;;;92;18;;;32;;;;;;;;;;272;;;;;;;;;;;;;;272;;;;;;;;;;;;;;224;;;32;;16;16;;;;;;;92;18;;;;;;;;;;;;32;272;;32;;;;;;32;;32;32;16;16;272;;32;;;32;;;;;;;;;272;;;;;;;;;32;;;;92;18;;;;32;16;16
0;6536;70256;;;;32;;;;;;112;208;32;272;;;;;;;;32;;32;;32;;592;;;;32;;32;;;32;;32;;;432;16;32;;;;;;;32;;16;16;;272;;;;;;;;;;;;;272;;;;32;;;;;;;;;;272;;;;;32;;32;;;;;32;;272;32;;32;;;;32;;;;;32;;272;;;;;;;;;;;;;592;112;208;32;64;32;48;16
0;51184;16;32;;;32;;;;;32;;32;;8688;32;32;;;;32;32;16;16;;16;16;48;272;16;;32;;32;;;;;;;;272;;;;;;;;32;;;32;32;16;432;64;32;;16;16;32;;;;32;;32;32;592;;;;;;;;;;;;;;272;;32;32;;;32;32;16;16;;16;16;592;;16;16;;;;;;16;16;;;16;432;;;32;16;16;;;32;32;16;;16;16;272;;16;32;32;;;
